-0.776419	-0.807066
-0.77733	-0.804266
-0.771631	-0.802207
-0.76201	-0.800541
-0.745584	-0.800013
-0.729311	-0.799724
-0.720349	-0.798345
-0.715302	-0.796114
-0.721869	-0.792853
-0.731689	-0.789617
-0.743474	-0.783435
-0.753281	-0.775043
-0.757298	-0.761402
-0.760115	-0.747677
-0.761689	-0.741129
-0.763366	-0.738186
-0.766203	-0.73901
-0.769762	-0.738926
-0.774488	-0.737375
-0.778708	-0.736199
-0.77668	-0.73658
-0.771488	-0.737287
-0.758265	-0.735753
-0.742957	-0.732701
-0.729077	-0.729228
-0.718965	-0.727124
-0.717432	-0.730754
-0.71569	-0.736329
-0.704954	-0.743989
-0.690841	-0.751022
-0.683516	-0.753769
-0.684253	-0.754341
-0.702914	-0.745407
-0.722481	-0.732453
-0.734589	-0.71356
-0.742687	-0.695959
-0.741838	-0.689463
-0.739098	-0.687993
-0.733746	-0.693866
-0.7283	-0.698766
-0.719914	-0.695938
-0.709018	-0.690055
-0.687327	-0.676653
-0.662393	-0.661143
-0.647266	-0.651815
-0.642735	-0.651125
-0.668992	-0.682669
-0.702507	-0.722629
-0.732854	-0.757734
-0.756244	-0.783583
-0.762867	-0.784477
